epoch,acc,loss,lr,mean_absolute_error,mean_squared_error,sparse_categorical_accuracy,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error,val_sparse_categorical_accuracy
0,0.6257106,1.6377658501880288,0.001,24.6319,758.45544,0.6257106,0.83295584,0.5298781820210263,24.590742,756.2322,0.83295584
1,0.80673057,0.60471937979971,0.00095,24.632748,758.4949,0.80673057,0.7999919,0.6104967775736558,24.590742,756.2312,0.7999919
2,0.8345775,0.5009615397992789,0.0009025,24.631214,758.4245,0.8345775,0.84201586,0.5117665462359728,24.590742,756.23254,0.84201586
3,0.8486577,0.4450102964516116,0.000857375,24.632124,758.4835,0.8486577,0.882786,0.3274262913371428,24.590742,756.23346,0.882786
4,0.859137,0.41166867117623634,0.00081450626,24.630741,758.4383,0.859137,0.8862644,0.33219520740432695,24.590742,756.23315,0.8862644
5,0.86694586,0.3847326453021458,0.0007737809,24.632769,758.47125,0.86694586,0.861592,0.40960560009403957,24.590742,756.2328,0.861592
6,0.8727519,0.36728938944088074,0.0007350919,24.63205,758.4512,0.8727519,0.9000566,0.27841098533815584,24.590742,756.2339,0.9000566
7,0.87608993,0.3520405744842365,0.0006983373,24.630981,758.4531,0.87608993,0.8911988,0.288508864734105,24.590742,756.23376,0.8911988
8,0.87966055,0.34076580283538405,0.0006634204,24.631475,758.41266,0.87966055,0.898277,0.2759985884610578,24.590742,756.23364,0.898277
9,0.8824321,0.33126782519786824,0.0006302494,24.632784,758.4952,0.8824321,0.9024834,0.27015994916420627,24.590742,756.23364,0.9024834
10,0.88568914,0.32262270012061217,0.0005987369,24.633558,758.5783,0.88568914,0.8875991,0.3212211859565503,24.590742,756.23315,0.8875991
11,0.88784367,0.31431956142791534,0.0005688001,24.627476,758.2551,0.88784367,0.90337324,0.2641096022823418,24.590742,756.2337,0.90337324
12,0.8888754,0.3086233959278715,0.0005403601,24.635695,758.6872,0.8888754,0.90503156,0.2601416556232092,24.590742,756.234,0.90503156
13,0.891303,0.3046228230567481,0.0005133421,24.626802,758.1519,0.891303,0.90850997,0.24606736020376618,24.590742,756.2342,0.90850997
14,0.89239544,0.3002692607665023,0.000487675,24.639095,758.8287,0.89239544,0.9091571,0.24222498163243547,24.590742,756.2339,0.9091571
15,0.8951265,0.29158929972590886,0.00046329122,24.627039,758.23914,0.8951265,0.90503156,0.2552057576605527,24.590742,756.2339,0.90503156
16,0.8955716,0.2857274018939937,0.00044012666,24.625349,758.1342,0.8955716,0.9123928,0.23863999446056408,24.590742,756.23395,0.9123928
17,0.8972912,0.28395520806443997,0.00041812033,24.64278,759.05914,0.8972912,0.9094402,0.2401263159308173,24.590742,756.234,0.9094402
18,0.89802957,0.2794492660687469,0.00039721432,24.63533,758.5917,0.89802957,0.91077495,0.23910174965569303,24.590742,756.234,0.91077495
19,0.8989703,0.27638658186155635,0.0003773536,24.631933,758.43024,0.8989703,0.91190743,0.23808660227708991,24.590742,756.234,0.91190743
20,0.8989804,0.27510319730148874,0.00035848594,24.628765,758.4112,0.8989804,0.9131613,0.23529584348963195,24.590742,756.23413,0.9131613
21,0.90081125,0.27112489897708103,0.00034056162,24.631638,758.34247,0.90081125,0.91380847,0.23363802062990902,24.590742,756.23425,0.91380847
22,0.90155977,0.2674547324096847,0.00032353355,24.634754,758.6446,0.90155977,0.91502184,0.2337218078050912,24.590742,756.23413,0.91502184
23,0.902106,0.26785042463005193,0.00030735688,24.624224,758.1069,0.902106,0.91433424,0.23131897455903028,24.590742,756.23413,0.91433424
24,0.90320593,0.263244682414198,0.000291989,24.642786,758.9392,0.90320593,0.9136062,0.23059060545047844,24.590742,756.2342,0.9136062
25,0.9029076,0.26252164648028176,0.00027738957,24.626427,758.1919,0.9029076,0.9157499,0.22644731947696764,24.590742,756.2344,0.9157499
26,0.9038255,0.2590043661154558,0.0002635201,24.64332,759.0532,0.9038255,0.91397023,0.23146684562009104,24.590742,756.2342,0.91397023
27,0.9040481,0.25673569151210923,0.00025034408,24.621056,757.9128,0.9040481,0.9161543,0.22639777122925664,24.590742,756.23413,0.9161543
28,0.9055148,0.2550321829395931,0.00023782688,24.629108,758.27203,0.9055148,0.9138489,0.22901766575188562,24.590742,756.23425,0.9138489
29,0.90691066,0.25196818456851683,0.00022593554,24.63994,758.93854,0.90691066,0.91639704,0.22563641026548628,24.590742,756.23413,0.91639704
