epoch,acc,loss,lr,mean_absolute_error,mean_squared_error,sparse_categorical_accuracy,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error,val_sparse_categorical_accuracy
0,0.6151238,1.3245335612231635,0.001,22.959253,711.1321,0.6151238,0.8435284,0.443476151527658,23.165564,720.1542,0.8435284
1,0.78426117,0.6422579385583436,0.00095,22.958576,711.1089,0.78426117,0.8599291,0.39096429683057604,23.165564,720.1547,0.8599291
2,0.8102823,0.5552502454144969,0.0009025,22.958939,711.15027,0.8102823,0.86693263,0.363977245944368,23.165564,720.15485,0.86693263
3,0.82339144,0.5131234668854414,0.000857375,22.952549,710.8385,0.82339144,0.877305,0.33453145442204285,23.165564,720.155,0.877305
4,0.833307,0.47837063593549356,0.00081450626,22.962183,711.3217,0.833307,0.875,0.3403020561751673,23.165564,720.1552,0.875
5,0.83985174,0.46008779647372494,0.0007737809,22.958517,711.11566,0.83985174,0.8753546,0.3283868166223421,23.165564,720.1552,0.8753546
6,0.8445139,0.44507952207196233,0.0007350919,22.959272,711.09186,0.8445139,0.8788121,0.3215986224533306,23.165564,720.1552,0.8788121
7,0.85068405,0.4270299303665125,0.0006983373,22.957258,711.084,0.85068405,0.8827128,0.31441052054912694,23.165564,720.1552,0.8827128
8,0.8523301,0.41665886300461014,0.0006634204,22.963945,711.36487,0.8523301,0.8867021,0.3065469179376118,23.165564,720.1554,0.8867021
9,0.85486317,0.4090211180374649,0.0006302494,22.95598,710.9801,0.85486317,0.88723403,0.2959631431616295,23.165564,720.1553,0.88723403
10,0.85890436,0.39868008077116424,0.0005987369,22.957703,711.0478,0.85890436,0.8890957,0.2925683002824248,23.165564,720.1554,0.8890957
11,0.86135864,0.3907997348466105,0.0005688001,22.954748,711.00726,0.86135864,0.88634753,0.29669760050788774,23.165564,720.1555,0.88634753
12,0.8639805,0.38330018337997535,0.0005403601,22.961235,711.1947,0.8639805,0.88439715,0.3057742261585627,23.165564,720.1554,0.88439715
13,0.86572504,0.37520663760998446,0.0005133421,22.957947,711.124,0.86572504,0.8939716,0.28764814167351876,23.165564,720.15564,0.8939716
14,0.86635584,0.3712120683594394,0.000487675,22.965618,711.34814,0.86635584,0.8942376,0.2846140766063821,23.165564,720.15564,0.8942376
15,0.8684947,0.36844130610746645,0.00046329122,22.958921,711.2795,0.8684947,0.889539,0.2929512358949346,23.165564,720.15546,0.889539
16,0.868475,0.36224523361991434,0.00044012666,22.956697,710.9781,0.868475,0.89565605,0.2814014370126997,23.165564,720.15564,0.89565605
17,0.87016046,0.3592453028685361,0.00041812033,22.967821,711.5078,0.87016046,0.89281917,0.27883303068620335,23.165564,720.1556,0.89281917
18,0.87055475,0.35880571844411974,0.00039721432,22.952354,710.8967,0.87055475,0.8983156,0.27489467018341784,23.165564,720.1557,0.8983156
19,0.8725753,0.3541862055050652,0.0003773536,22.963907,711.4341,0.8725753,0.895922,0.2763606778025038,23.165564,720.1557,0.895922
20,0.8735905,0.34949380770135313,0.00035848594,22.941755,710.2863,0.8735905,0.88980496,0.28912408504698234,23.165564,720.1555,0.88980496
21,0.87330467,0.34789661946798267,0.00034056162,22.972263,711.777,0.87330467,0.8964539,0.27522824585206257,23.165564,720.1557,0.8964539
22,0.87586737,0.3442779732105804,0.00032353355,22.95036,710.56506,0.87586737,0.89078015,0.28476422401618656,23.165564,720.1557,0.89078015
23,0.8760645,0.3414481123047209,0.00030735688,22.969723,711.7104,0.8760645,0.8986702,0.27290933793884214,23.165564,720.1557,0.8986702
24,0.8768727,0.33932549535917983,0.000291989,22.949911,710.7593,0.8768727,0.8969858,0.2748687999891275,23.165564,720.15564,0.8969858
25,0.87907076,0.33379462947418326,0.00027738957,22.974669,711.87494,0.87907076,0.8906915,0.28958586770725453,23.165564,720.1556,0.8906915
26,0.877129,0.3375571510982032,0.0002635201,22.942522,710.4604,0.877129,0.89361703,0.27716307128427053,23.165564,720.1557,0.89361703
27,0.8786863,0.33226989764009923,0.00025034408,22.967781,711.44836,0.8786863,0.8934397,0.27584723953557555,23.165564,720.15564,0.8934397
28,0.87900174,0.32975640674905243,0.00023782688,22.958736,711.16583,0.87900174,0.89654255,0.2700754630268883,23.165564,720.1557,0.89654255
29,0.8801057,0.32649780185492216,0.00022593554,22.960428,711.11914,0.8801057,0.8939716,0.27280918997317805,23.165564,720.1557,0.8939716
